Property Name,Contact Person, Email,Contact Number,  Address,preferred_campus,accomodation_type,room_type,monthly_budget,safety_priority,distance_priority,high_speed_wifi,secure_parking,laundry_facilities,kitchen_access,security_24_7,gym_access,study_areas,public_transport
15 Andrew Murray,Boitumelo Thulare,selinabthulare@gmail.com,731860332,"15 Andrew Murray Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,3000,medium,moderate,1,1,1,1,0,0,1,0
Kaelo Properties,Molate Samuel Talane,kaelo.properties@gmail.com,645026850,"29 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,Single,2500,low,close,1,1,1,1,0,0,1,0
27 Helios Building 2,Trevor Herbert,wayne53herbert@gmail.com,823213016,"27 Helios Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,4500,high,close,1,1,1,1,1,0,1,0
Tcm Developments (Pty) Ltd,Deslandi Fernando,info.egi22@gmail.com,746001884,"3 Willie Collins Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,2800,medium,moderate,1,1,1,1,0,0,1,0
Johannes Sekele,Johannes Sekele,sekelejoe@gmail.com,833213679,"no. 24 Andrew Murray Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,any,3900,high,flexible,1,1,1,1,1,0,1,1
Likeleli  Lydia Mbele,Likeleli  Lydia Mbele,likeleli2@gmail.com,715732878,"15 Theo Wassenaar Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,2500,low,moderate,1,1,1,1,0,0,1,0
Rocharl student accommodation 2- Aurora,Mukhethwa Mudau,rocharlaccomodation@gmail.com,659356995,"9 Aurora Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,3000,low,moderate,1,1,1,1,0,0,1,0
Natalia student accommodation ,Jabulile Kekana,kjabulile379@gmail.com,832603291,"21 Fortuna Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,3700,high,close,1,1,1,1,1,0,1,0
STUDENT JUNXION 2,CONNIE RADEMAN,connix.rademan@gmail.com,711728298,"Canopus Crescent, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,2200,high,close,1,1,1,1,1,0,1,0
Ogssian properties T/A Houston House,Prince Duru,mohanoep@yahoo.com,605044850,"12 Helios Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,4600,high,flexible,1,1,1,1,1,1,1,1
Louisville Facilities (Pty) Ltd,Louis Buthelezi,louis@llsecurity.co.za,730417270,"Cassandra Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,5000,high,flexible,1,1,1,1,1,1,1,1
Gida Student Palace 2,Khusela Sipika,khuselasipika2@gmail.com,814763922,"no 14 James Cook Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Any,Housing,single,6000,high,flexible,1,1,1,1,1,1,1,1
Ralu Accommodation 2 Glanville,Balanganani Comfort Muofhe,b_muofhe@yahoo.com,719118922,"Glanville Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Any,shared house,shared,4100,high,flexible,1,1,1,1,1,1,1,1
OPI Student Accommodation ,Lufuno Rams Ramovha,rams@ramspm.co.za,765906474,"no 18 Hugo Naude Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Apartment,any,4300,high,flexible,1,1,1,1,1,0,1,1
Bethel house 45,Innocent  Mwale,innocent.mwale5@gmail.com,718904569,"45 General Froneman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,3800,low,moderate,1,1,1,1,0,0,1,0
Bokamoso Batho student accommodation ,Matshidiso  Khafela,tshidikhafela02@icloud.com,642122630,"22 Ithaca Avenue, Bedworth Park, Vereeniging, South Africa",Any,Housing,any,5000,high,flexible,1,1,1,1,1,1,1,1
